# Skills.sh × WildClawBench coverage map (initial bucketing)
#
# Inferred-function buckets based on slug + owner namespace. Each row is a
# best-guess mapping of one skills.sh skill to (a) a functional bucket and
# (b) the most plausible WildClawBench category, with a 0/1/2 relevance
# score (0 = no, 1 = adjacent, 2 = direct).
#
# Categories: PF=Productivity Flow, CI=Code Intelligence, SI=Social Interaction,
#             SR=Search & Retrieval, CS=Creative Synthesis, SA=Safety Alignment
#
# Source: data/audit/skills_sh_paths.txt (189 slugs, 2026-05-06).
# This file is the seed for Phase A3 (human re-rating). Edit freely.
#
slug,owner,bucket,wcb_category,relevance,note
# --- Anthropic core skills (clearly the highest-quality entries) ---
pdf,anthropics,document_format,PF,2,direct match — PF tasks include PDF batch classify
docx,anthropics,document_format,PF,2,direct
pptx,anthropics,document_format,PF,2,paper-to-poster (CS) and PF
xlsx,anthropics,document_format,PF,2,LaTeX-table-extraction adjacent
canvas-design,anthropics,creative_design,CS,1,web design not video/poster
brand-guidelines,anthropics,creative_design,CS,1,helps poster CS task
algorithmic-art,anthropics,creative_design,CS,1,visual puzzle CI?
doc-coauthoring,anthropics,document_workflow,PF,1,arxiv digest adjacent
internal-comms,anthropics,communication,SI,1,meeting/email phrasing
mcp-builder,anthropics,agent_meta,CI,1,not directly useful
skill-creator,anthropics,agent_meta,,0,meta — about authoring skills
template-skill,anthropics,agent_meta,,0,meta
slack-gif-creator,anthropics,creative_design,CS,1,
theme-factory,anthropics,creative_design,CS,0,
web-artifacts-builder,anthropics,coding,CI,1,
webapp-testing,anthropics,coding,CI,1,
frontend-design,anthropics,creative_design,CS,0,web only
# --- Firecrawl / web scraping cluster (sweet spot for Search & Retrieval) ---
firecrawl,firecrawl,web_scraping,SR,2,direct
firecrawl-agent,firecrawl,web_scraping,SR,2,direct
firecrawl-crawl,firecrawl,web_scraping,SR,2,direct
firecrawl-download,firecrawl,web_scraping,SR,2,direct
firecrawl-map,firecrawl,web_scraping,SR,2,direct
firecrawl-scrape,firecrawl,web_scraping,SR,2,direct
firecrawl-search,firecrawl,web_scraping,SR,2,direct
